,pretrained_model_name,num_params,validation_accuracy
7,EfficientNetV2B2,8769374,0.945929527
16,EfficientNetB2,7768569,0.943499386
15,EfficientNetB1,6575239,0.943499386
6,EfficientNetV2B1,6931124,0.942284346
12,DenseNet201,18321984,0.939246655
5,EfficientNetV2B0,5919312,0.938639104
8,EfficientNetV2B3,12930622,0.938031614
14,EfficientNetB0,4049571,0.936208963
11,DenseNet169,12642880,0.934993923
0,EfficientNetB3,10783535,0.934386373
9,EfficientNetV2S,20331360,0.931348741
10,DenseNet121,7037504,0.927096009
2,ResNet50,23587712,0.925273418
4,ResNet101,42658176,0.924665868
2,EfficientNetB5,28513527,0.923450768
8,MobileNet,3228864,0.920413136
4,EfficientNetB7,64097687,0.919805586
6,ResNet152,58370944,0.919198036
1,EfficientNetB4,17673823,0.917982996
10,EfficientNetV2M,53150388,0.90583235
3,EfficientNetB6,40960143,0.90461725
1,InceptionV3,21802784,0.894896746
0,Xception,20861480,0.894289196
5,ResNet101V2,42626560,0.893681645
11,EfficientNetV2L,117746848,0.893074095
9,MobileNetV2,2257984,0.891859055
3,ResNet50V2,23564800,0.885176182
7,ResNet152V2,58331648,0.879100859
0,VGG16,14714688,0.876670718
0,NASNetLarge,84916818,0.869380295
2,InceptionResNetV2,54336736,0.867557704
1,VGG19,20024384,0.858444691
13,NASNetMobile,4269716,0.8104496
